"index"	"image_path"	"hint"	"question"	"answer"	"category"
"24"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the circular feature on the door designed to provide ventilation through the door?"	"Yes"	"Instance Interaction"
"25"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the circular feature on the door designed to serve as a decorative feature?"	"No"	"Instance Interaction"
"26"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the light source physically attached to the door?"	"No"	"Instance Interaction"
"27"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does the door handle connect to the ceiling for support?"	"No"	"Instance Interaction"
"28"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any visible number on the image?"	"Yes"	"Numerical Text Reference Understanding"
"29"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Do you see the exact number ""25°"" specifically referring to the temperature of the top right corner where the red point is?"	"Yes"	"Numerical Text Reference Understanding"
"30"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Do you see the exact number ""25"" specifically indicating a door model or room number?"	"No"	"Numerical Text Reference Understanding"
"31"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Do you see the exact number ""2.5"" specifically referring to the temperature of the top right corner where the red point is?"	"No"	"Numerical Text Reference Understanding"
"32"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any visible non-numerical text on the image?"	"Yes"	"Non-Numerical Text Reference Understanding"
"33"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""FLIR"" at the bottom left corner specifically referring to a thermal imaging brand?"	"Yes"	"Non-Numerical Text Reference Understanding"
"34"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""EXIT"" at the top of the door specifically showing an emergency exit?"	"No"	"Non-Numerical Text Reference Understanding"
"35"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""ELIR"" at the bottom left corner specifically referring to a thermal imaging brand?"	"No"	"Non-Numerical Text Reference Understanding"
"36"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any color to temperature scale bar on the image?"	"No"	"Temperature to Color Mapping Understanding"
"37"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does the following sequence of colors correctly represent the temperature distribution from low to high: purple, orange, yellow?"	"Yes"	"Temperature to Color Mapping Understanding"
"38"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does the following sequence of colors correctly represent the temperature distribution from low to high: red, blue, green?"	"No"	"Temperature to Color Mapping Understanding"
"39"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does the following sequence of colors correctly represent the temperature distribution from low to high: yellow, purple, red?"	"No"	"Temperature to Color Mapping Understanding"
"40"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the thermal image viewpoint exactly the same as the RGB image viewpoint without any noticeable shift or zoom?"	"Yes"	"RGB-Thermal-Heatmap Alignment"
"41"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the thermal image viewpoint slightly to the right of the RGB image viewpoint?"	"No"	"RGB-Thermal-Heatmap Alignment"
"42"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the thermal image, should the heatmap be shifted downward to correctly match the positions of black edges of the objects?"	"Yes"	"RGB-Thermal-Heatmap Alignment"
"43"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the thermal image, should the heatmap be zoomed out to correctly match the positions of black edges of the objects?"	"No"	"RGB-Thermal-Heatmap Alignment"
"44"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the door in the thermal image showing a cooler temperature concentrated towards the bottom?"	"Yes"	"Instance Thermal Attribute"
"45"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Are the walls in the thermal image showing a gradual increase in temperature from the edges to the center?"	"No"	"Instance Thermal Attribute"
"46"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the circular feature on the door in the thermal image displaying a consistent, low-temperature distribution?"	"Yes"	"Instance Thermal Attribute"
"47"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the ceiling in the thermal image showing a high-temperature concentration at the center?"	"No"	"Instance Thermal Attribute"
"48"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the door warmer than the surrounding walls in the thermal image?"	"No"	"Relative Thermal Attribute"
"49"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the area near the circular feature on the door cooler than the rest of the door in the thermal image?"	"Yes"	"Relative Thermal Attribute"
"50"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Are the walls in the thermal image warmer than the ceiling?"	"No"	"Relative Thermal Attribute"
"51"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the door handle showing a higher temperature than the door itself in the thermal image?"	"No"	"Relative Thermal Attribute"
"52"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the ceiling light the hottest area in this scene?"	"Yes"	"Warmest Areas Detection"
"53"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Are the ceiling tiles the hottest area in this scene?"	"No"	"Warmest Areas Detection"
"54"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the door jamb the hottest area in this scene?"	"No"	"Warmest Areas Detection"
"55"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Are the gaps and cracks on the walls the hottest area in this scene?"	"No"	"Warmest Areas Detection"
"56"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the circular feature on the door the coldest area in this scene?"	"Yes"	"Coldest Areas Detection"
"57"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Are the gaps and cracks on the walls the coldest area in this scene?"	"No"	"Coldest Areas Detection"
"58"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the ceiling tile the coldest area in this scene?"	"No"	"Coldest Areas Detection"
"59"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the lid line the coldest area in this scene?"	"No"	"Coldest Areas Detection"
"60"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the cooler area near the air vent on the door in the thermal image an indication of a potential insulation problem?"	"No"	"Risk and Anomaly Detection"
"61"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Does the warmer temperature of the walls in the thermal image indicate an electrical or fire hazard?"	"No"	"Risk and Anomaly Detection"
"62"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the door handle’s thermal state in the image an indication of overheating and potential risk?"	"No"	"Risk and Anomaly Detection"
"63"	"['Data/Source 1/Basement door/rgb.jpg', 'Data/Source 1/Basement door/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in thermal image should be shifted slightly downward to align with the edges of the objects. Is the temperature distribution on the ceiling in the thermal image a sign of insulation failure?"	"No"	"Risk and Anomaly Detection"
"64"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this image primarily focused on a kitchen appliance setup?"	"No"	"Scene Understanding"
"65"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does the image show an outdoor setting with a natural landscape?"	"No"	"Scene Understanding"
"66"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this image focused on an electrical control or metering panel?"	"Yes"	"Scene Understanding"
"67"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does the image display a whiteboard with some markers?"	"No"	"Scene Understanding"
"68"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there any visible circuit breaker switches in the image?"	"Yes"	"Detailed Object Presence"
"69"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there a computer monitor present in the image?"	"No"	"Detailed Object Presence"
"70"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there multiple electrical meters visible in the scene?"	"Yes"	"Detailed Object Presence"
"71"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any dials or knobs visible in the image?"	"No"	"Detailed Object Presence"
"72"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the image, are the electrical meters rectangular in shape?"	"Yes"	"Instance Attributes"
"73"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the image, are all the electrical fuses made of porcelain?"	"No"	"Instance Attributes"
"74"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the image, are the switches made of a transparent material?"	"No"	"Instance Attributes"
"75"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the image, are all the circuit breakers red?"	"No"	"Instance Attributes"
"76"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are all the electrical meters positioned at the top of the image?"	"No"	"Instance Location w.r.t. Image"
"77"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there any circuit breakers located at the bottom right of the image?"	"Yes"	"Instance Location w.r.t. Image"
"78"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are all the old electrical porcelain fuses located on the left side of the image?"	"No"	"Instance Location w.r.t. Image"
"79"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there a clipboard or folder positioned in the center of the image?"	"No"	"Instance Location w.r.t. Image"
"80"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the bottom right side of the image, is the electrical meter positioned to the left of the switches?"	"Yes"	"Instance Spatial Relation"
"81"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the clipboard or folder located below the top-most electrical meter?"	"No"	"Instance Spatial Relation"
"82"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the bottom side of the image, are the three old porcelain fuses located to the left of the electrical meter?"	"No"	"Instance Spatial Relation"
"83"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the center of the image, are the two electrical meters surrounded by multiple old porcelain fuses from all sides except left?"	"Yes"	"Instance Spatial Relation"
"84"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there exactly five electrical meters in the image?"	"Yes"	"Instance Counting"
"85"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there more than four circuit breaker sets visible in the image?"	"No"	"Instance Counting"
"86"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there fewer than three old porcelain fuses in the image?"	"No"	"Instance Counting"
"87"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there two clipboards or folders present in the image?"	"No"	"Instance Counting"
"88"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are the wires at the top of the image coming out of the panel?"	"Yes"	"Instance Interaction"
"89"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the image, are the electric meters connected to the switches under the panel?"	"Yes"	"Instance Interaction"
"90"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the image, are the old porcelain fuses interacting with the clipboard or folder?"	"No"	"Instance Interaction"
"91"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the image, are the electric meters directly interacting with any lamp?"	"No"	"Instance Interaction"
"92"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any visible number on the image?"	"Yes"	"Numerical Text Reference Understanding"
"93"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact number ""345"" below the red point specifically referring to power consumption on a electric meter?"	"No"	"Numerical Text Reference Understanding"
"94"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact number ""34.5"" below the red point specifically referring to a temperature of the top of a electric meter?"	"Yes"	"Numerical Text Reference Understanding"
"95"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact number ""345"" on the clipboard or folder specifically indicating a page number?"	"No"	"Numerical Text Reference Understanding"
"96"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any visible non-numerical text on the image?"	"Yes"	"Non-Numerical Text Reference Understanding"
"97"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""FLIR"" at the bottom left corner specifically referring to a thermal imaging brand?"	"Yes"	"Non-Numerical Text Reference Understanding"
"98"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""FLIK"" on the clipboard or folder indicating a safety instruction?"	"No"	"Non-Numerical Text Reference Understanding"
"99"	"Data/Source 1/Basement Fuse/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""ELIR"" at the bottom left corner specifically showing the type of equipment?"	"No"	"Non-Numerical Text Reference Understanding"
"100"	"['Data/Source 1/Basement Fuse/rgb.jpg', 'Data/Source 1/Basement Fuse/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any color-to-temperature scale bar on the image?"	"No"	"Temperature to Color Mapping Understanding"
"101"	"['Data/Source 1/Basement Fuse/rgb.jpg', 'Data/Source 1/Basement Fuse/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the following sequence of colors correctly representing temperature distribution from low to high: blue, purple, orange, yellow, white?"	"Yes"	"Temperature to Color Mapping Understanding"
"102"	"['Data/Source 1/Basement Fuse/rgb.jpg', 'Data/Source 1/Basement Fuse/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the following sequence of colors correctly representing temperature distribution from low to high: blue, purple, orange, white, yellow?"	"No"	"Temperature to Color Mapping Understanding"
